Signature,Timestamp,Whale_Address,Rejection_Reason
"2r9uBFDgT426aZQvvnSSZNnN67jpabhX8ud34aS6aSua1JoHacxh1sy6sw1Y9HyvHMMj8vthieL1co8YWDBg4E3V","2026-02-04T15:51:26.873Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"34ytaLfbgYkDR1pLSPA5XrtdyALjKHYXeyAEDZzoDVVQ13fdi5dnmR6KahiXjW6uEiv26xnxqhjYeBJRBH4tWifH","2026-02-04T15:51:26.961Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"5sdUJ1w4tcbJdPoQVaRAGUsBoXQHLHwDcyKtKHczW6MiDwiqMCMxX7V7aCpHxvpPtinEy36o3HRXjYZQKEpCG9nM","2026-02-04T15:51:26.968Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"2D4Ctvyz1LpTmDBKsh4Q5TzzxWVDyZBTa1KMDZbRK6Lx1Qg1Z6puLHDmcPRvtZfv6VTMgzUsyQfTaHirJ4LKBB94","2026-02-04T15:51:27.342Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4ZdKgtmuwMxeHt9Wh8AAk8s2G1SjHatE1of8qBcGwcAtQQtAsR5ohp5Sovnhf5oqRqokNZBqVWZ4CxRDLAU6YX15","2026-02-04T15:51:27.439Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"2uu51KCLZDPdSwo8q516F6booQiyNFNdGUTqiN9QJ8Tv1tCsqzAu8miX5a3y7TRvnH66GoEXj2D5iXzYSZbjoijv","2026-02-04T15:51:28.076Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"bATy4s5GmNM6bqspjnDg5yWTr1o43xmKbUMLRmFswqeU4LeD7BaAWUNp14eE1bPoDRc1koufdN72E2BFEsfwqgV","2026-02-04T15:51:28.107Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"2LD7zgGb4Exv8CYsR63VXp2AEe5PX3JNN9mrhafLh1Kh9stuNDFLDAv66Zp3mXHpj6DHxEhW5dfiTTtXSki7KrvD","2026-02-04T15:51:28.363Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3qDy45STDhMJWS3YSLVT5GRhzWzBTZgJgaDv3usrPF5zKfhEfzLxJFVv517e8h2g49oPXwmiiJLZESP1FaV1vACy","2026-02-04T15:51:28.373Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"6z9RtYxr85HuyQ5wu6UWpXHFqnzQJUcsNYjaT8rUXdLJUTjXjTdT4frVBqaagZqpuCJS4taZ8mJbxbiHRXh3wgB","2026-02-04T15:51:28.882Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
