Signature,Timestamp,Side,Input_Token,Output_Token,Input_Mint,Output_Mint,Input_Amount,Output_Amount,Whale_Address,Confidence,Source
"35B6FzErruhybvAazvKEvGAP7mnST2o75oCvir6TVo9D2cekQE8xVtnv2suJn835WA2K5ZTw6vdGmuMGxtcbYzkh","2026-02-04T15:52:22.484Z","SELL","omfg...meta","USDC","omfgRBnxHsNJh6YeGbGAmWenNkenzsXyBXm3WDhmeta","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","14023.681837","7249.760109","4EH8L767giBvAu8cVMfr1f9btr43FvJMtniCsGrygmcc","100","v2_parser"
"yiddJHq9sU3cVzSHzCBVJscYDP1UtWXTYkjVnquhP4jNg1HJdzVZniUWD61asuW7Wkm7w1DHrBaskh29PZwPXRF","2026-02-04T15:53:48.320Z","BUY","SOL","68Zm...pump","So11111111111111111111111111111111111111112","68ZmDLAGzRTQr8LWGNk23tGjr9wQihBFaxSP7qAjpump","0.000000","8732486.150118","HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp","100","v2_parser"
"qT782VrA189oVftw5zaAsrf5xfxr5jMU9iNpFg6U3Mxb21cx4S9ATLHz1EbQJJHUi4WEzdUTmdCcvoes6gjGDWf","2026-02-04T15:54:25.027Z","SELL","HUMA...wvGw","SOL","HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw","So11111111111111111111111111111111111111112","4682.004763","2.002490","FE2MHWLTSmndBUWbbtmnfUfoKrn9NKtDCDGxCPG2h9Dy","100","v2_parser"
"51QhgTNVqURwfqAyemM1yTzFnBsAKfgNzb2KocwSUdRvTi9M6i4jp5bdYxF6gn4s9Eq1L7W2du16YRdVRrxDWTih","2026-02-04T15:54:57.252Z","SELL","SKRb...ZhW3","USDC","SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","3000.000000","52.810629","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","100","v2_parser"
"ESk4zDMuVaj8nBx4i6HdK3A4MYf7igkjgEsXksBTDdNr6QdmTaGFz37TCqhrdxeBavp1mFeL4Wm2ABgBWudDfyZ","2026-02-04T15:55:17.544Z","BUY","USDC","J3NK...3KFr","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr","0.000000","99.373462","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"5doKsXPPKox2vhL17SbeV8sfz4MiinDmiCbiZ5h6RWnwgQzni3AcAwX5SV8hSNSV8DCJdHmn8tiUzmWtAENxSnsZ","2026-02-04T15:55:40.456Z","BUY","USDC","CARD...xYjp","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp","0.000000","11675.812613","CcM9FGcjo7hS1ZoiCXxM6cUVfiGrDV3qMDYGCbdmmSWj","100","v2_parser"
"3XS9CEs4gMD5sBpC1E7LWiC5A5CRHxDxjC2qFfLvU8rfqhVZznHfbxch2zqiTt7e6D51GpbhT9GnXZC1Z9Ry6Lr2","2026-02-04T15:55:51.193Z","BUY","SOL","a3W4...pump","So11111111111111111111111111111111111111112","a3W4qutoEJA4232T2gwZUfgYJTetr96pU4SJMwppump","0.000000","869.476314","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","100","v2_parser"
"4EnHEMwQ8oSEuFasgnDamF5k5z42HK2FqpibxrV1MFvNJ19JxgY9VDjsQeN2pa4bgFE6C73miT6DUfwP8HjjtvAn","2026-02-04T15:55:57.615Z","BUY","SOL","61V8...pump","So11111111111111111111111111111111111111112","61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump","0.000000","250000.000000","CreQJ2t94QK5dsxUZGXfPJ8Nx7wA9LHr5chxjSMkbNft","100","v2_parser"
"2E5hFT2kbgSHP5Wv2ZvVPfk2DfSs82V1aKvRw9Di8G57bR4at1o3VXBQr6HaBDeBCDFnuXA4a6FTmEkDwLwdXH71","2026-02-04T15:56:13.968Z","SELL","a3W4...pump","SOL","a3W4qutoEJA4232T2gwZUfgYJTetr96pU4SJMwppump","So11111111111111111111111111111111111111112","862.444515","1.987634","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","100","v2_parser"
