Signature,Timestamp,Side,Whale,InputMint,OutputMint,InputSymbol,OutputSymbol,InputAmountRaw,OutputAmountRaw,InputAmountNormalized,OutputAmountNormalized,Confidence,Source
2rxDkEo8kbXasAxbPcvz3CzvnBwjBqBfkT8SnH6EqvQ7Fxit2f1mZoFC5jr4eMrEjcZvmXBi9ixRcBCEiHZBjk2E,2026-02-03T16:17:31.045Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.152112,100.000000,30.152112,100,v2_parser
65erXw7hw4ec3Z5MzZEtHRCPJriwT9MrtjbQAqz9i71yX6o2N8QAGNQgKcfPt8fuPjCgt3mhk3hMJPf4MqVpxCx2,2026-02-03T16:17:31.137Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQ...KNwG,USDC,1000,343.242151,1000.000000,343.242151,100,v2_parser
4mvhL7koyaFBbtNBpxa5L3gD9hHAJwX8GDs5yrKkTZr35XTGk9tNmMCr3XFdQFQ51ETKjBQXq79RPmFkk4xo32K2,2026-02-03T16:17:31.646Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQ...KNwG,USDC,1000,342.422385,1000.000000,342.422385,100,v2_parser
TA7f66WtEjRVQWXqaNocyp7VN7L674ync3qeCskNPbXNtnUuxkFHjgsRZSt9uZ3wGZu9AUEngmSiGrPGoSkKNDv,2026-02-03T16:17:31.949Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQ...KNwG,USDC,1000,343.637281,1000.000000,343.637281,100,v2_parser
5fYquPX8gCdHTCjRrhPDkYZzTkna8H6Aa2mQfGW1Mu62aUVAahs3YFA6U6YRf8RwF5YttCajWTYToa5ecR3dpzfG,2026-02-03T16:17:31.994Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.133051,100.000000,30.133051,100,v2_parser
5oNvGwQy6hX1turi449hB5hkdCXiUVZdBJWXKDtYqpW1Rc7B2KbtNqcqgcqSQBCeEfef3pNG23Pi43PJtAUEFpkH,2026-02-03T16:17:32.143Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.123528,100.000000,30.123528,100,v2_parser
QckqBk8urpEXAWxiicncZdBhnYwZCUBtwPwyD5TvrDHKQCajqS1YvSVWukxW6Sd15oKvDUXEnWY3ZuraB8nW5Hc,2026-02-03T16:17:32.287Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,200,60.218503,200.000000,60.218503,100,v2_parser
bmQDBNUW86BPU5Yg9pKhcaZ5LPkrVhnjadizrhSAQXNbjhTbsGdXB6cUsQhdh9MPBoy58M51s2ED5GeeR4BSHDh,2026-02-03T16:17:45.561Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.094984,100.000000,30.094984,100,v2_parser
8KYENWdFzCjipZS7UdVHAhpWfmWzXscwmdMo6uYrar2hJj2UQVfjiqDs9cof8Gd5eqsdFZ1qemA31V2HrpHZokw,2026-02-03T16:17:56.103Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.085478,100.000000,30.085478,100,v2_parser
2VjkrHnWHd6xDpBEzjAyRS5eAiLYzaVhJwnB5WFgMNPyftQX4KwCMGmRaAUPq5bR9AZBmf2t78us3yyprTMezCyJ,2026-02-03T16:18:05.431Z,BUY,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,So11111111111111111111111111111111111111112,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,SOL,Dz9m...bonk,0.491773691,558.2517,0.491774,558.251700,100,v2_parser
4HWzXgKwqZuhre1ZfHW4WqakBVyA1zenhJ6tNYzBp2UDgqA1YfwNGbfQFfyQeykcyiPfGa7mSCtymMddexmY43MG,2026-02-03T16:18:25.755Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,200,60.142459,200.000000,60.142459,100,v2_parser
U831G7irSdXwYhEkf2gMkdderdJvSr3nBfRyES2oh61t5YCpbA83qNT6okBP3ruN75NxCkM3NgCnwSbQsT4KHj6,2026-02-03T16:19:31.994Z,SELL,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,CeK6k4BMmiqkxkzYAbQuUp3hrVFSHxuQ1LJXmNybc3vz,So11111111111111111111111111111111111111112,CeK6...c3vz,SOL,238208,0.226185968,238208.000000,0.226186,100,v2_parser
34yVtJQMZPQx6Vy5Souym8ZDTVDxZXacjFEUpSpsGx67RXEZspS9SFghCzXkHgz897VRnTRKNNbRHnZy8gcAEW1v,2026-02-03T16:19:41.296Z,BUY,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,So11111111111111111111111111111111111111112,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,SOL,Dz9m...bonk,0.418259546,475.258355,0.418260,475.258355,100,v2_parser
3ADNUMbwtudtWhkqEsmBfUQ18cEorbMoJhvxSgnMRa1oTWb2iY28DstYqGg5FM1z38Z9QBbckNvxLB1wC3BFocpc,2026-02-03T16:19:45.685Z,BUY,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,So11111111111111111111111111111111111111112,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,SOL,Dfh5...pump,6.6,1823.360639,6.600000,1823.360639,100,v2_parser
3pYuaYxYvhvPHMcH9a5SqJ7hasXycuiCLDNRZrFCR9ziJ36MfVj1JeM24wfZXAa2MBYiL2veyW6xf76FoehkGspB,2026-02-03T16:19:54.101Z,SELL,97SmT8njEdLznV5dpucCPd1tdR4V3axaqhD8P3n3gK9b,9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9S8e...pump,USDC,250000,1988.375713,250000.000000,1988.375713,100,v2_parser
4XGVdwiAVnkEq2PbXbBRoGK7Jc8mLwhzyyFkDsauct2hhakAVF9i7vhMUFnet6xENy4H4xsQFo8kmCSUfaZ3iywj,2026-02-03T16:20:22.445Z,SELL,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,So11111111111111111111111111111111111111112,Df6y...pump,SOL,500.405374,0.059111627,500.405374,0.059112,100,v2_parser
2K3e5UYvqDH8ehPG6HuaSacpCcFyFaqJei7pWZPWcAA8WEuRjHiEoE7jFn1psHr7NE3QyrEyGwUZ3DS8EzaZNc7X,2026-02-03T16:20:57.736Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQ...KNwG,USDC,1000,337.969576,1000.000000,337.969576,100,v2_parser
5eRNKF8vJ5AxhQ94cTJRs7wRfpWz5n9CR82EQDS6yModgisqWNP8sCRtPMdAdPa41jtku7WdgVvUSE7BUjrJj46w,2026-02-03T16:20:58.026Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQ...KNwG,USDC,1000,337.935627,1000.000000,337.935627,100,v2_parser
5L64XjU11Koy74XKKoPBSxmRiqb1Y5YsRgMh5oiEVPuyCdWdUeSF68egH7Rmy4cReiDe98w8e6ZkvgguXCUUx6wt,2026-02-03T16:21:15.278Z,BUY,FjEbaTPh5W89Hs4h1rjt7V6zsvo48AM3xHQynjpPyEsQ,So11111111111111111111111111111111111111112,EPEUQHkKcbe7heQN7JA3ftjQYEFCNJLgyJqbt7V7BAGS,SOL,EPEU...BAGS,3.00203928,443265.364651718,3.002039,443265.364652,100,v2_parser
3pQ9GMpZh6e58GaP2pBzCyJeZVs6tMt4BioADQGy3nhK2F5qsxhJoJS9YWhz6WJ7KCkSRFCdFPLQSGVwdbpvmQD1,2026-02-03T16:21:16.602Z,BUY,CcM9FGcjo7hS1ZoiCXxM6cUVfiGrDV3qMDYGCbdmmSWj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,USDC,CARD...xYjp,82.258988,1550.413369,82.258988,1550.413369,100,v2_parser
55g3TGRvn1Ks7XgfNXMbxPp8XRy1p77RXhCvC5UQUmfuZM1UYyZFm6rJSvHHVJbEdJRvvCLDMRjF81nioRQWHWQ8,2026-02-03T16:21:20.920Z,BUY,FjEbaTPh5W89Hs4h1rjt7V6zsvo48AM3xHQynjpPyEsQ,So11111111111111111111111111111111111111112,EPEUQHkKcbe7heQN7JA3ftjQYEFCNJLgyJqbt7V7BAGS,SOL,EPEU...BAGS,3.00203928,437996.231058856,3.002039,437996.231059,100,v2_parser
