signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
2jfTUdaX4VMqPUWbcLnqS4KLFRWyXsK4sAKHppdV8gRU2LCK4hx88vDuWatah1EMHzNbx84SucATJbp5p3eGLvVm,215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,SELL,HaUX...AHvi,SOL,3236363.242775,199.218057394,2026-02-17T22:01:59.000Z,100
cLXVRUYaZHYd8ij1Ht6zt2kjCy8yeKYnV7Y5PjzGRoAqeEb1Htbd67wzCQ7mUYwdmNTABpsU1LaYjdiM6vYFREu,5sNnKuWKUtZkdC1eFNyqz3XHpNoCRQ1D1DfHcNHMV7gn,SELL,EMdW...BZVh,SOL,36310143.117955,1.7890982640000002,2026-02-17T22:02:02.000Z,100
5WXLCTAUAME8FHzrSNDBf8h44zzAyW2aMcDoLUcv2o84yzi5HKrYZZjLoPoaHsnxtDwCi89YoyXU8F61QLY6Pgvh,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,174990.016797098,2026-02-17T22:02:04.000Z,100
3iAZR2Cpjt1K9zhzSe7yBLjhFzEhWjf2u5qS2E7mC73TcT9peMRdHs3p5xvPm1ymHxQ7vUcnqZLGzBBPD1LBXzHu,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,175794.262702783,2026-02-17T22:02:04.000Z,100
4Nmt7Qcs8mzj9k85966caVB4WupwD8NLQFS6YjwUKeeZMYNgYV22qazsQjn9VMDQF78sdx4FVHchvuaPDkXWMzMG,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,173986.001310561,2026-02-17T22:02:05.000Z,100
KVoiwRnmJ8QFtNqST4JiTRqTf9Nc4htrei8kRmHiSSm5qs733djFGPsG4scP3f1KQsUcVKub6BNp4CmRCN3uL26,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,173019.917762308,2026-02-17T22:02:05.000Z,100
3EjRyBkkE5mRkkD3obgcjeYTcwAqfokWWusKyJKtk9gDjBuS47znkdyXxdrcHsmqwk7R4eyNh6pUVtyZXsdhjxdU,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,171254.185375774,2026-02-17T22:02:06.000Z,100
4LUR2ovpqNDpuwJNtfgHebnuhxYDaYwFvN7CGn1ri37tjNrqjwugLzAcYqdXNLd8U8v6h6LAVcTwWFpvGUhgzAEt,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,169515.345694377,2026-02-17T22:02:06.000Z,100
51cgDrHybPgwjvfRbhQzoLPqzzY3TyZRXfm7NPcA5B3v2EdvSgxNj9jC4vqWDkSWWZ84jojz2VTvqcuwuu1mFiQQ,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,167935.737653835,2026-02-17T22:02:06.000Z,100
5ASsYEcDY8MQDQmRbKvU82BTi5rtqEvnccZnAsCSKdDtUYJdewR8VYQyWRmtUMtAVFhuNhoWNaaRc6CU9HYxcgQF,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,171264.924763796,2026-02-17T22:02:07.000Z,100
T37MnPC3jojXfbBrWCTZjj8hL1t9Nn7JRb47Hknw1nfCr3xnjsDVoEJjSwyfY3Mmcjo872R9xj8KAaCN697RvyB,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,173030.82367494,2026-02-17T22:02:06.000Z,100
4Cb5YEsBBYyAgdknTgPNnHxL7am6yME3cD1oBxzmnz3Z5JNicDAkCbb1KVoepfq2Eq3mfcQMGbGMTHLBFF5HyGEu,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,BUY,SOL,AWpD...doge,5.9410050000000005,166722.00387193,2026-02-17T22:02:07.000Z,100
5Xv2bZvcvkEyG42E7TUdz2xqy5DqqpU3Fd7WzzBw7eKhHoC5GxLDNS5koiqPiU3dcLcjCnDedjvACr3qucBGmwWH,AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,SELL,4jja...BAGS,SOL,8253948.438714191,4.880081076,2026-02-17T22:02:22.000Z,100
4xQJtQtqvD7duoN3rQ4eFfKL84WWMgYQ7jJjAR2xrTV2uZk25XZLw9hxo1mLoRYrfjc8NJyN9JP59vyKsT5EzrsW,525LueqAyZJueCoiisfWy6nyh4MTvmF4X9jSqi6efXJT,SELL,5R6U...KZFN,SOL,5069703.443937,12.713932304,2026-02-17T22:02:38.000Z,100
2z6wsn3nzwHtJwqkHf9ZuhfBd2KoFVL8sYCEMUWgARrqds112J75xxkQhGVD4T6neeBvUdGtoERuMP87k7TaML9Y,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,BUY,SOL,2LNS...hPUS,1.10847828,37137585.758114,2026-02-17T22:02:42.000Z,100
2f9yFEsVU9Nv3jVumoSRHCzoKFnFineiB4SVDUKzQwzxsYd4jAuwX2mHPfUyBWG9ohAxr7XYNW7CXhk1Y39RTby3,53akttNRNbMoFeFvtS5qjmJMrHiBio24fm22xa3FujU1,BUY,SOL,2LNS...hPUS,1.0109872999999998,21813852.622159,2026-02-17T22:02:42.000Z,100
3dmJrLrYFRTZLDHuXqDJVrBw1YDh2WJqXwryy5nLMBTcUNyqaj6Do78XL5CJmkc19ifYSUNVUdpDGTyaHd8Dizis,68WhRkSpCCurWgvgssfTJV8QwiXbertVaM3Jyzzsb7ka,BUY,SOL,2LNS...hPUS,5.830513915999999,86248251.298966,2026-02-17T22:02:42.000Z,100
4wb46APkESa2m3hF5jZDyEcA49j7yWrgpCX6zmPc7ekvjDaTNXzC9BTc8NshWbV5N4QDUoi98MDoqfzXEUSMXDCG,53akttNRNbMoFeFvtS5qjmJMrHiBio24fm22xa3FujU1,BUY,SOL,2LNS...hPUS,1.009048488,11400514.007205,2026-02-17T22:02:47.000Z,100
5znkVAG3kigb3WyoQSsuuoqEy9dhNgonituuJQs4fSuepqk1Mg7J7iiJSgXQXms1cFjxYD4E521CjdaGyqGZyBj3,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,BUY,SOL,2LNS...hPUS,0.9080050000000001,11141407.229693,2026-02-17T22:02:46.000Z,100
2F1kgWKZfZA3PZNhyrsrnGHZ9fuhCcetfgAKTahwwYCSLhENgDUGfG4kzGeG4L1p6TXMRBMTE9NHT6pxvezejsMs,GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa,BUY,SOL,82qD...3vY7,2.002149016,32118952.68325,2026-02-17T22:02:52.000Z,100
v8DwvQB3847zpYTSRv8MHfbAaWvEj9FpFKXRpNb3cpQ8Zo1Dkg3bv6mdtG7sBmVwx2cDHVdeyE72JxMvhfLP8UL,GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa,SELL,82qD...3vY7,SOL,32118952.68325,0.908222981,2026-02-17T22:03:02.000Z,100
562NGLcVsiEyEkBso9J4UkQndVmEuxYXvAFLzERQoZZEe1MTQnkmq3A9o2o1pVE4VbyMa4F2Lhh59CstCtwzGvfH,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,BUY,SOL,2LNS...hPUS,0.10800499999999999,962598.080196,2026-02-17T22:03:11.000Z,100
