signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
5zqTo2FJzAX7odeZfS1zBiC6zmgEq5Mk5ypAzpzAy396naKruNBcEoCzFQbnDYtvWbAcbxgfKFiWXmaeZX3p7UxX,G2mgnzpr59vYjKpwU9q5zVfS9yQ9HezMwjuqF7LACvR4,BUY,SOL,BysD...pump,2.204083125,23678410.730477,2026-02-17T21:59:55.000Z,100
4He5YMrH1WrLotNb1pNgXE2aqM7xqVyZZLoafuYa6xiaVnBe4E3PkqXsKsTF5gPkqTdfxTHqBNusFtsYxgfgyrNm,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,BUY,SOL,EMdW...BZVh,0.26514588499999997,821607.854667,2026-02-17T21:59:55.000Z,100
4ASRs7HQKeCv6MvdwsQpKAxUVFSNK6Qc2LamR8BP16HUzfosE3grPFs7Bg122Ru2fz7ixmTvk2biQboVVE7E4AeM,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,BUY,SOL,EMdW...BZVh,0.24663543500000001,749941.672194,2026-02-17T21:59:55.000Z,100
63mCDWMPAeGk39zugmW6ebzanZRLpRJ9xiZtqHPvs8JfqWScJrudfffudUJDFDhn2HpCfghv4ppqBatfrqA75oeJ,AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,BUY,SOL,AWpD...doge,1.000705,40895.062867158,2026-02-17T22:00:00.000Z,100
22iNU7yjTyKP14ZZBXDzL5hEWu9g4hwoEooua1oZwwYqCRi9soHSmBDrDq4gZKWWK8WDhwv9FYUdr8ryosMoxXUz,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,SELL,EMdW...BZVh,SOL,16214029.557999,2.04733974,2026-02-17T22:00:13.000Z,100
3KWNhJTvSGK61wgxejMufkNNRBwr914jk6Rk8ugFj9fP7mv88Af7QDsGUL9sLzK7ggnCAGTgVB513eY9GWUFakBG,AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,BUY,SOL,AWpD...doge,1.000705,37674.564534726,2026-02-17T22:00:18.000Z,100
2wuzkHVp2fPXCxTA3RAM7msx54NdtRF52ijRmw4qErQojoDujYkVQqTeD4nxcTvszTmug72TGhDjZ3hCp9KJAPMi,J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa,BUY,SOL,9pW7...pump,2.053005001,27702086.588173,2026-02-17T22:00:19.000Z,100
4CpAiZzkak6xPSXjeAnsVEFKuWPFEmHhZEVhTuNfoZaaTXJJQxvsccvEsYDRRbLs91XRzSatK1VJfbFAzuHjnbzp,AibscSrgezxHBLtz2sDU7KNofzi8Dqy1eNnKe1aor47w,BUY,SOL,9pW7...pump,13.838517752000001,129557710.64121,2026-02-17T22:00:19.000Z,100
3sMjLPhf9S9eu9XMTEhYWZ6JwLVBrZsiW8VMje2kjC8VPHpbeqnjhPr4MAvbYvu7pHRLwdanafk4HxzEW2jnLPrH,3qH2pfLJa1ro4atxX5dpp4ieNWPtBPzDm6DaGHETM7S1,BUY,SOL,9pW7...pump,5.172014933,39653908.527291,2026-02-17T22:00:19.000Z,100
3Ho8usbpDkBVFW1nZnKCmzprQEVZGmor8RZNyevyVJcmfuxj85SPSDLdLLEu1MvFtQoFYfm1QoyoHPfa4n18jgpk,G2mgnzpr59vYjKpwU9q5zVfS9yQ9HezMwjuqF7LACvR4,BUY,SOL,BysD...pump,0.667786251,10140286.549866,2026-02-17T22:00:24.000Z,100
3BMEE31Hu9BFS7u4Mb3bPXtgpXMq2AK8BUn1oc3KKa6YdkKtwuZTbGd679BjNxCTYioWCxDrj57f4oAz6GdmFAze,GAH2TKPtu7HSpbCkBMANPCDBSSaRFeSwoScfFRVF7oHa,BUY,SOL,4NbL...dBcd,2.0170049999999997,468266.898404,2026-02-17T22:00:24.000Z,100
