signature,whale_address,ts_utc,shyft_result,shyft_erase_reason,shyft_direction,helius_result,helius_erase_reason,helius_direction,category,winner
5Zxbv2V5QxZTNFeJC8L3s48pQ2tLekN3zmit9fjehgVQ1UVwv2kRp75jVxb8S33EJDvnpaXSP7S1u6ybya7qS39F,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:17.446Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
iEx6e1weBJcZv4HbooUrpixAGcRsAsEiPxQgYeUU8PAiZRy8Yv37QYA3roCrv3BCqNszrQLFQdAsCH4WRxEDsiZ,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2026-02-18T09:31:22.582Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
2EGCz6QJHusbVjh1usngjVNAy3ZtahGM6AZor4Ujch5ym4EP2nuGNdyKbHQKLCXfJgsqM7j5kT2DGYZUVF5TARjT,76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp,2026-02-18T09:31:26.883Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5bD19DYn1UCCPUEzgmpFC1Rd8wiA5bgoxiULcR7QtmUfTUd46F1nyBoPr1tbGhouV7p11rDj5hThUTLfXZWWDDVx,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:26.889Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
4C2A8uw4253hC4x1MfmsXmBkaYJNiX9K1LgpNMdFP5makoJKez2fuzxFcsWH5L3NMZ3MXRFqTQ46ShJ3997eygy9,8d9FNC7AgKLTCPKNd3MMkLLXZYLmiYFYR3vfXMBNJVNx,2026-02-18T09:31:28.829Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5W845E6HPPKSE23bzW9SvKm3AfCWyPPh4RAEYANsVtmxsjkB3UmyW3vXT6mVYhn7pKCH4fVgaRjagGuHJXwSPMit,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:28.834Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
2k6Ynrz5ngEFS8YFbcR33eCoyhXytQdqwjzWWi6W1HeavCkSMHMV7Y4LBJGPTS7aareNecRiqN7GXrqDuBUyhft8,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:31:29.966Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3LWS4Qtr5j1FmT2x4FacoB8dqNRCuyGXZtjEedsUmhxtUw2x17Z1zafygxtYpBoD3kMaxJwCa5vSgroyxXTKxK7e,sdPGX5Zgb2a8o67aHSAezHmcTHe8HRs8HotyHvzhEhT,2026-02-18T09:31:38.585Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
EXviY76pMWxAeE5Wf8ujeHj1qwkNyswrie8C7rwyCZBTbqojcuXdk8LRcwRp2HSCByVNpHts1fBLPF6KB1eTVKW,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:31:40.055Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
449xoeUasmaWB4wgL5NvFqAWYeJ8j1hEo7rzEhJ94G7i3osdPSY2i3MPmPGSMsrD3yN2TSMuaYu2BqMd2nZyqELg,9eopQbZdGDnTyXdEDeDbFqfcVYJ4CyAfS3anEr2JAjHo,2026-02-18T09:31:40.468Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
